"uid","time","stale_time","source_uid","object_uid","event_point","raw_event"
a7b153f5-e306-4686-b038-3470109f25bb,2025-07-08 04:31:04.462,2025-07-08 04:31:16.463,vorpal-service,"0_369",POINT (35.377632 30.930277),"{""how"": null, ""uid"": ""c2706d59-552c-4c04-b4c6-a62d273fd92e"", ""time"": ""2025-07-08T04:31:04.462636Z"", ""type"": ""target"", ""point"": {""ce"": 7.721249, ""le"": null, ""hae"": null, ""lat"": 30.930277, ""lon"": 35.377632}, ""stale"": ""2025-07-08T04:31:16.463259Z"", ""start"": ""2025-07-08T04:31:06.463253Z"", ""version"": ""0.0.1"", ""object_uid"": ""0_369"", ""source_uid"": ""vorpal-service"", ""description"": ""drone detection of DJI O3 20MHz on 2451.500000 MHz at the 2.4GHz band"", ""current_view_poly"": null, ""spatial_orientation"": {""spin"": null, ""attitude"": {""yaw"": 242.135941, ""roll"": null, ""pitch"": null}}, ""current_view_sensor_info"": null}"
cb8cb248-d539-4892-9b86-8d7f12551dca,2025-07-08 04:31:09.702,2025-07-08 04:31:21.347,vorpal-service,"0_369",POINT (35.37775 30.930424),"{""how"": null, ""uid"": ""2ea85aa5-9c4b-4225-9024-4cc9fabdbf2c"", ""time"": ""2025-07-08T04:31:09.702626Z"", ""type"": ""target"", ""point"": {""ce"": 13.279423, ""le"": null, ""hae"": null, ""lat"": 30.930424, ""lon"": 35.37775}, ""stale"": ""2025-07-08T04:31:21.347775Z"", ""start"": ""2025-07-08T04:31:11.347771Z"", ""version"": ""0.0.1"", ""object_uid"": ""0_369"", ""source_uid"": ""vorpal-service"", ""description"": ""drone detection of DJI O3 20MHz on 2445.500000 MHz at the 2.4GHz band"", ""current_view_poly"": null, ""spatial_orientation"": {""spin"": null, ""attitude"": {""yaw"": 37.106506, ""roll"": null, ""pitch"": null}}, ""current_view_sensor_info"": null}"
"33af5a5c-c310-4ec5-9798-358aa5c607eb",2025-07-08 04:31:13.422,2025-07-08 04:31:24.490,vorpal-service,"0_370",POINT (35.377785 30.929548),"{""how"": null, ""uid"": ""d81fb89f-b806-4a8c-9216-9b6cecef0d5a"", ""time"": ""2025-07-08T04:31:13.422615Z"", ""type"": ""target"", ""point"": {""ce"": 27.1052, ""le"": null, ""hae"": null, ""lat"": 30.929548, ""lon"": 35.377785}, ""stale"": ""2025-07-08T04:31:24.490499Z"", ""start"": ""2025-07-08T04:31:14.490494Z"", ""version"": ""0.0.1"", ""object_uid"": ""0_370"", ""source_uid"": ""vorpal-service"", ""description"": ""drone detection of DJI O3 20MHz on 2420.500000 MHz at the 2.4GHz band"", ""current_view_poly"": null, ""spatial_orientation"": {""spin"": null, ""attitude"": {""yaw"": 265.167145, ""roll"": null, ""pitch"": null}}, ""current_view_sensor_info"": null}"
"7d6e5ef3-4c6c-4371-9b18-9dfe48a1a77e",2025-07-08 04:31:14.262,2025-07-08 04:31:26.101,vorpal-service,"0_369",POINT (35.377605 30.93034),"{""how"": null, ""uid"": ""aec0901b-ed59-4756-a4b4-74b052efa463"", ""time"": ""2025-07-08T04:31:14.262628Z"", ""type"": ""target"", ""point"": {""ce"": 8.133123, ""le"": null, ""hae"": null, ""lat"": 30.93034, ""lon"": 35.377605}, ""stale"": ""2025-07-08T04:31:26.101883Z"", ""start"": ""2025-07-08T04:31:16.101878Z"", ""version"": ""0.0.1"", ""object_uid"": ""0_369"", ""source_uid"": ""vorpal-service"", ""description"": ""drone detection of DJI O3 20MHz on 2445.500000 MHz at the 2.4GHz band"", ""current_view_poly"": null, ""spatial_orientation"": {""spin"": null, ""attitude"": {""yaw"": 251.883194, ""roll"": null, ""pitch"": null}}, ""current_view_sensor_info"": null}"
ce724f87-a7cc-4474-b505-6154096e3561,2025-07-08 04:31:14.542,2025-07-08 04:31:26.182,vorpal-service,"0_370",POINT (35.377785 30.929548),"{""how"": null, ""uid"": ""9a69db44-077c-400c-a245-62943b9ada6e"", ""time"": ""2025-07-08T04:31:14.542639Z"", ""type"": ""target"", ""point"": {""ce"": 32.527493, ""le"": null, ""hae"": null, ""lat"": 30.929548, ""lon"": 35.377785}, ""stale"": ""2025-07-08T04:31:26.182220Z"", ""start"": ""2025-07-08T04:31:16.182216Z"", ""version"": ""0.0.1"", ""object_uid"": ""0_370"", ""source_uid"": ""vorpal-service"", ""description"": ""drone detection of DJI O3 20MHz on 2451.500000 MHz at the 2.4GHz band"", ""current_view_poly"": null, ""spatial_orientation"": {""spin"": null, ""attitude"": {""yaw"": 263.558075, ""roll"": null, ""pitch"": null}}, ""current_view_sensor_info"": null}"
"7d0cc6ac-770d-462f-a39d-ab0ae9ce1223",2025-07-08 04:31:13.422,2025-07-08 04:31:24.490,vorpal-service,"0_370",POINT (35.377785 30.929548),"{""how"": null, ""uid"": ""1191e7a3-c476-4c41-8747-bac0cd6cdabf"", ""time"": ""2025-07-08T04:31:13.422615Z"", ""type"": ""target"", ""point"": {""ce"": 27.1052, ""le"": null, ""hae"": null, ""lat"": 30.929548, ""lon"": 35.377785}, ""stale"": ""2025-07-08T04:31:24.490499Z"", ""start"": ""2025-07-08T04:31:14.490494Z"", ""version"": ""0.0.1"", ""object_uid"": ""0_370"", ""source_uid"": ""vorpal-service"", ""description"": ""drone detection of DJI O3 20MHz on 2420.500000 MHz at the 2.4GHz band"", ""current_view_poly"": null, ""spatial_orientation"": {""spin"": null, ""attitude"": {""yaw"": 265.167145, ""roll"": null, ""pitch"": null}}, ""current_view_sensor_info"": null}"
"4e397d42-e910-4da9-86ac-e2ceeb91583f",2025-07-08 04:31:14.542,2025-07-08 04:31:26.182,vorpal-service,"0_370",POINT (35.377785 30.929548),"{""how"": null, ""uid"": ""6058fa65-dddd-4584-a97b-b1f0c45b1c08"", ""time"": ""2025-07-08T04:31:14.542639Z"", ""type"": ""target"", ""point"": {""ce"": 32.527493, ""le"": null, ""hae"": null, ""lat"": 30.929548, ""lon"": 35.377785}, ""stale"": ""2025-07-08T04:31:26.182220Z"", ""start"": ""2025-07-08T04:31:16.182216Z"", ""version"": ""0.0.1"", ""object_uid"": ""0_370"", ""source_uid"": ""vorpal-service"", ""description"": ""drone detection of DJI O3 20MHz on 2451.500000 MHz at the 2.4GHz band"", ""current_view_poly"": null, ""spatial_orientation"": {""spin"": null, ""attitude"": {""yaw"": 263.558075, ""roll"": null, ""pitch"": null}}, ""current_view_sensor_info"": null}"
"9c76797b-fb5f-42ea-9a97-a96d89c2637c",2025-07-08 04:31:18.782,2025-07-08 04:31:30.557,vorpal-service,"0_369",POINT (35.377617 30.930342),"{""how"": null, ""uid"": ""afb26dc2-4e0b-40e7-92fb-cd2a8c997dfb"", ""time"": ""2025-07-08T04:31:18.782631Z"", ""type"": ""target"", ""point"": {""ce"": 8.131158, ""le"": null, ""hae"": null, ""lat"": 30.930342, ""lon"": 35.377617}, ""stale"": ""2025-07-08T04:31:30.557754Z"", ""start"": ""2025-07-08T04:31:20.557749Z"", ""version"": ""0.0.1"", ""object_uid"": ""0_369"", ""source_uid"": ""vorpal-service"", ""description"": ""drone detection of DJI O3 20MHz on 2446.500000 MHz at the 2.4GHz band"", ""current_view_poly"": null, ""spatial_orientation"": {""spin"": null, ""attitude"": {""yaw"": 253.718643, ""roll"": null, ""pitch"": null}}, ""current_view_sensor_info"": null}"
f8aabcec-7dd3-4e88-a8cc-0d04e965bebd,2025-07-08 04:31:14.262,2025-07-08 04:31:26.101,vorpal-service,"0_369",POINT (35.377605 30.93034),"{""how"": null, ""uid"": ""269b6b8f-5e12-4419-990d-edfd8e40d6fd"", ""time"": ""2025-07-08T04:31:14.262628Z"", ""type"": ""target"", ""point"": {""ce"": 8.133123, ""le"": null, ""hae"": null, ""lat"": 30.93034, ""lon"": 35.377605}, ""stale"": ""2025-07-08T04:31:26.101883Z"", ""start"": ""2025-07-08T04:31:16.101878Z"", ""version"": ""0.0.1"", ""object_uid"": ""0_369"", ""source_uid"": ""vorpal-service"", ""description"": ""drone detection of DJI O3 20MHz on 2445.500000 MHz at the 2.4GHz band"", ""current_view_poly"": null, ""spatial_orientation"": {""spin"": null, ""attitude"": {""yaw"": 251.883194, ""roll"": null, ""pitch"": null}}, ""current_view_sensor_info"": null}"
"4a980213-5e83-4a0b-b7c2-fbade1714dcb",2025-07-08 04:31:18.222,2025-07-08 04:31:29.931,vorpal-service,"0_370",POINT (35.377785 30.929548),"{""how"": null, ""uid"": ""421b4293-01c7-4c1b-b01e-3f6e579f5210"", ""time"": ""2025-07-08T04:31:18.222627Z"", ""type"": ""target"", ""point"": {""ce"": 27.011559, ""le"": null, ""hae"": null, ""lat"": 30.929548, ""lon"": 35.377785}, ""stale"": ""2025-07-08T04:31:29.931276Z"", ""start"": ""2025-07-08T04:31:19.931272Z"", ""version"": ""0.0.1"", ""object_uid"": ""0_370"", ""source_uid"": ""vorpal-service"", ""description"": ""drone detection of DJI O3 20MHz on 2426.500000 MHz at the 2.4GHz band"", ""current_view_poly"": null, ""spatial_orientation"": {""spin"": null, ""attitude"": {""yaw"": 266.005219, ""roll"": null, ""pitch"": null}}, ""current_view_sensor_info"": null}"
